layer,dream_layer_mean,llada_layer_mean,delta_llada_minus_dream
0,0.972602101167043,0.9885679642359416,0.015965863068898578
1,0.9765897353490194,0.9890321294466654,0.012442394097646026
2,0.9741872549057007,0.9890067100524902,0.014819455146789506
3,0.955727239449819,0.9854987661043803,0.029771526654561287
4,0.9627683103084564,0.9851336240768432,0.022365313768386796
5,0.9649600585301717,0.986377493540446,0.021417435010274266
6,0.9732173760732015,0.9854647199312846,0.012247343858083126
7,0.9706023534138998,0.9863636295000712,0.015761276086171394
8,0.9682642300923665,0.9840602199236552,0.015795989831288715
9,0.9718877792358398,0.9800875385602316,0.008199759324391764
10,0.9759587367375692,0.9785480618476867,0.0025893251101175574
11,0.9776097416877747,0.9740519007047017,-0.0035578409830729907
12,0.9772385676701864,0.9691258470217387,-0.008112720648447702
13,0.9776326378186544,0.9679430882136028,-0.00968954960505164
14,0.9770676533381144,0.9635392705599467,-0.013528382778167702
15,0.9799341201782227,0.9549594283103943,-0.024974691867828414
16,0.9807992339134216,0.9538347562154134,-0.02696447769800825
17,0.9840844591458638,0.9503595232963562,-0.03372493584950764
18,0.9841849128405253,0.9472881078720092,-0.036896804968516106
19,0.9847934246063232,0.944657317797343,-0.040136106808980276
20,0.9839324792226155,0.9431705196698507,-0.04076195955276485
21,0.9823668718338012,0.9305757641792297,-0.05179110765457151
22,0.9825681726137797,0.9199320197105407,-0.06263615290323898
23,0.9833564996719361,0.9173085212707519,-0.06604797840118415
24,0.9849169135093689,0.9092042525609334,-0.07571266094843554
25,0.9837660511334737,0.8887072642644246,-0.09505878686904912
26,0.9848002751668294,0.8840791245301565,-0.10072115063667297
27,0.9744295318921407,0.881138809521993,-0.09329072237014768
