layer,dream_layer_mean
0,0.972602101167043
1,0.9765897353490194
2,0.9741872549057007
3,0.955727239449819
4,0.9627683103084564
5,0.9649600585301717
6,0.9732173760732015
7,0.9706023534138998
8,0.9682642300923665
9,0.9718877792358398
10,0.9759587367375692
11,0.9776097416877747
12,0.9772385676701864
13,0.9776326378186544
14,0.9770676533381144
15,0.9799341201782227
16,0.9807992339134216
17,0.9840844591458638
18,0.9841849128405253
19,0.9847934246063232
20,0.9839324792226155
21,0.9823668718338012
22,0.9825681726137797
23,0.9833564996719361
24,0.9849169135093689
25,0.9837660511334737
26,0.9848002751668294
27,0.9744295318921407
