step,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31
1,0.996765673160553,0.9925327301025391,0.9916800856590271,0.9882523417472839,0.9851070642471313,0.9865955710411072,0.9829681515693665,0.9795919060707092,0.9685249924659729,0.9499197602272034,0.9268341064453125,0.8944510221481323,0.8674027919769287,0.8639571070671082,0.8421605825424194,0.792711079120636,0.7724803686141968,0.7403391599655151,0.7216091752052307,0.6990013122558594,0.7039507627487183,0.6538658142089844,0.6061468124389648,0.5976282954216003,0.5772572755813599,0.4533866047859192,0.4493001401424408,0.4456092417240143,0.4736875891685486,0.4639294445514679,0.5388932228088379,0.5653761625289917
2,0.9985888600349426,0.9955393075942993,0.9959670305252075,0.9959341883659363,0.9958633780479431,0.9962728023529053,0.9964074492454529,0.9956651926040649,0.9952561855316162,0.9945675134658813,0.9946593642234802,0.9937559962272644,0.9910411238670349,0.9908149242401123,0.9858205914497375,0.9701072573661804,0.9626553058624268,0.9585179090499878,0.9585741758346558,0.9609283804893494,0.9584599733352661,0.94580078125,0.940912663936615,0.9486608505249023,0.9560884833335876,0.9623576402664185,0.972517192363739,0.9791781902313232,0.9857990145683289,0.9875547885894775,0.9912350177764893,0.9930815100669861
3,0.9992021322250366,0.9991359114646912,0.9988244771957397,0.9975247383117676,0.9966189861297607,0.9965734481811523,0.9957195520401001,0.9939299821853638,0.9926844835281372,0.9902158975601196,0.98954838514328,0.9864799976348877,0.9786056280136108,0.9791221618652344,0.9744390845298767,0.9739366769790649,0.980754017829895,0.979118287563324,0.9754047393798828,0.9682809114456177,0.9630342721939087,0.9537091255187988,0.9392583966255188,0.9317972660064697,0.9365720152854919,0.942533016204834,0.9560956954956055,0.9672616124153137,0.976514458656311,0.9792070984840393,0.9848980903625488,0.9858428239822388
4,0.9998014569282532,0.999733030796051,0.9996272325515747,0.9996434450149536,0.9996699690818787,0.9995845556259155,0.9996036291122437,0.9994568824768066,0.9994102120399475,0.9992072582244873,0.9990382194519043,0.9987873435020447,0.9987311959266663,0.9988511204719543,0.9987567663192749,0.998785138130188,0.9985406398773193,0.9980980157852173,0.9978804588317871,0.9978522658348083,0.9979639649391174,0.9979166388511658,0.9971799850463867,0.9965779781341553,0.9961176514625549,0.9963066577911377,0.9968704581260681,0.9975881576538086,0.9979974031448364,0.9978997707366943,0.9985296130180359,0.998485803604126
5,0.9997537136077881,0.9997730851173401,0.9996646046638489,0.9995750784873962,0.9994984269142151,0.9991662502288818,0.999182403087616,0.9990810751914978,0.9990047812461853,0.9987863898277283,0.9984985589981079,0.9980255365371704,0.9977126121520996,0.996481716632843,0.9950830936431885,0.9948932528495789,0.9943393468856812,0.9909287691116333,0.9915754199028015,0.989175021648407,0.9872898459434509,0.9831979274749756,0.976600170135498,0.9773997664451599,0.9791836738586426,0.9802522659301758,0.9810193181037903,0.9850479364395142,0.9881620407104492,0.9896574020385742,0.9923078417778015,0.9933768510818481
6,0.9997606873512268,0.999721884727478,0.9996516108512878,0.99964839220047,0.9996263980865479,0.9996541738510132,0.9996705651283264,0.9996713995933533,0.9996610283851624,0.9996525049209595,0.9996526837348938,0.9995143413543701,0.9995256662368774,0.9993630647659302,0.999306321144104,0.9992247819900513,0.9987308382987976,0.9984422326087952,0.998414158821106,0.9979900121688843,0.9976294040679932,0.9963278770446777,0.994091272354126,0.9925276637077332,0.9926220178604126,0.9920850992202759,0.9925498962402344,0.9942636489868164,0.9956265687942505,0.9964139461517334,0.9976078271865845,0.998016893863678
7,0.9634177684783936,0.9695131182670593,0.9679535627365112,0.9454506039619446,0.9426432847976685,0.9456322193145752,0.9400650262832642,0.9492301940917969,0.9475693106651306,0.93790203332901,0.9376074075698853,0.9297240376472473,0.9262515306472778,0.9214990139007568,0.9136013984680176,0.9072777628898621,0.9233882427215576,0.9320397973060608,0.9254106879234314,0.9271441698074341,0.9231815338134766,0.9042606949806213,0.8914963006973267,0.8826603889465332,0.8679950833320618,0.8356056213378906,0.7995704412460327,0.7801854014396667,0.7417291402816772,0.7297038435935974,0.7608200907707214,0.7722141146659851
8,0.9554014801979065,0.9609280228614807,0.9567335247993469,0.9325677156448364,0.9302954077720642,0.9345316290855408,0.9272245764732361,0.9346258640289307,0.9198624491691589,0.8959313035011292,0.8930268883705139,0.8722503781318665,0.8637199401855469,0.85230952501297,0.8269258737564087,0.787940502166748,0.7745664119720459,0.7543804049491882,0.743813693523407,0.7344955205917358,0.7201135158538818,0.6727176308631897,0.6309758424758911,0.6282484531402588,0.5744266510009766,0.4389945864677429,0.34546899795532227,0.2748003304004669,0.2554548680782318,0.22508077323436737,0.2747983932495117,0.2857154607772827
9,0.9160844087600708,0.9192957878112793,0.9258381724357605,0.932574450969696,0.9379720687866211,0.9485699534416199,0.9551852941513062,0.9600571393966675,0.9579857587814331,0.9582995772361755,0.9620863199234009,0.9627249240875244,0.9472150206565857,0.9494415521621704,0.9503442645072937,0.9417173266410828,0.9420071840286255,0.9493090510368347,0.9496235847473145,0.9522010087966919,0.9545067548751831,0.9398888349533081,0.9308667182922363,0.9216040372848511,0.9075093269348145,0.8936970233917236,0.9059516191482544,0.9096950888633728,0.9089244604110718,0.9022423624992371,0.9102007150650024,0.9153498411178589
10,0.9999216794967651,0.9997581839561462,0.9997337460517883,0.9921889901161194,0.9909794330596924,0.9904992580413818,0.9880361557006836,0.9874032735824585,0.9848692417144775,0.9815292954444885,0.9821949005126953,0.9802473783493042,0.972863495349884,0.974875807762146,0.975571870803833,0.9724050760269165,0.9752444624900818,0.9687410593032837,0.9645087718963623,0.9622640609741211,0.9606086015701294,0.937393069267273,0.923590898513794,0.9141867160797119,0.888829231262207,0.8807913064956665,0.9006837606430054,0.916050374507904,0.9263584613800049,0.9227808713912964,0.917544960975647,0.8129258155822754
